switch	Město	Ulice	PSČ
sw1g.lipova31.wll 	Brno	Lipová	602 00
sw1g.ttt.wll 	Popůvky	Vintrovna	664 41
sw1g.kooperativa.wll 	Modřice	Brněnská	664 42
sw1g.veselka.wll	Troubsko	Jihlavská	664 41
sw1g.karasekbudova24.wll 	Brno	Karásek	621 00
sw1g.mestanka.wll 	Brno	Měšťanská	620 00
sw1g.podoli.wll 	Podolí	Podolí	664 03
sw1g.hydrotech.wll 	Modřice	Tyršova	664 42
sw1g.hyspler.wll 	Brno	Přádlacká	602 00
sw1g.palackeho158.wll 	Brno	Palackého tř.	612 00
sw1g.vichr.wll 	Brno	Kobližná	602 00
sw1g.radnicka14-16.wll 	Brno	Radnická	602 00
sw1g.trikohouti.wll 	Brno	Masarykova	602 00
sw1g.rovner.wll 	Brno	Masná	602 00
sw1g.smetanova10.wll 	Brno	Smetanova	602 00
sw1g.slovinska.wll 	Brno	Slovinská	612 00
sw1g.ospap.wll 	Brno	Vídeňská	619 00
sw1g.mdb.wll 	Brno	Lidická	602 00
sw1g.cedr.wll 	Brno	Olomoucká	618 00
sw1g.radnicka1.wll 	Brno	Radnická	602 00
sw1g.francouzska59.wll 	Brno	Francouzská	602 00
sw1g.autopark.wll 	Brno	Karlova	614 00
sw1g.mlynska44.wll 	Brno	Mlýnská	602 00
sw1g.spalstudentagency.wll 	Brno	Dominikánská	602 00
sw1gpoe.tecpa.wll	Modřice	Tyršova	664 42
sw1g.minoritska10.wll 	Brno	Minoritská	602 00
sw1g.prazakova52.wll 	Brno	Pražákova	619 00
sw1g.malyspalicek.wll 	Brno	Zelný trh	602 00
sw1g.symerska.wll 	Brno	Lazaretní	615 00
sw1g.forline.wll 	Brno	Dominikánské náměstí	602 00
sw1g.horakova.wll 	Brno	Milady Horákové	602 00
sw1g.sujan.wll 	Brno	Šujanovo nám.	602 00
sw1g.solidvision.wll 	Brno	Josefy Faimonové	628 00
sw1g.cihlarska19.wll 	Brno	Cihlářská	602 00
